1/f 噪声	1/f noise
星际尘粒	interstellar grain
星际弥漫物质	interstellar diffuse matter
星际微波激射	interstellar maser
星际散射	全称：scattering by interstellar media。缩写：ISS
星际气体	interstellar gas
星际气体云	interstellar gas cloud
星际气体尘埃云	interstellar gas-dust cloud
星际氢	interstellar hydrogen
星际氢线	interstellar hydrogen line
星际泡	interstellar bubble
星际流星	interstellar meteor
星际消光	interstellar extinction
星际热等离子体光谱卫星	全称：Cosmic Hot Interstellar Plasma Spectrometer Satellite。缩写：CHIPS
星际物质	全称：interstellar medium; interstellar matter。缩写：ISM
星际磁场	全称：interstellar magnetic field。缩写：IMF
星际空间	interstellar space
星际等离子体	interstellar plasma
星际粒子	interstellar particle
星际红化	interstellar reddening
星际耗损	interstellar depletion
星际股流	interstellar stream
星际视差	interstellar parallax
星际谱带	interstellar band
星际谱线	interstellar line
星际辐射	interstellar radiation
星际辐射场	interstellar radiation field
星际边界探测者	全称：Interstellar Boundary Explorer。缩写：IBEX
星际通信	interstellar communication
星际钙	interstellar calcium
星际闪烁	全称：interstellar scintillation。缩写：ISS
星际风	interstellar wind
星集	stellar aggregate; stellar aggregation
星震	starquake
星震学	asteroseismology; stellar seismology; astroseismology
星风	stellar wind
星风物理	physics of stellar wind
星风碰撞双星	colliding-wind binary
星食	stellar eclipse
春分	Vernal Equinox; Spring Equinox
春分日	day of vernal equinox
春分点	vernal equinox; vernal point; spring equinox; first point of Aries
春分点位置	equinox position
春分点改正	equinox correction
春分点运动	equinox motion
春湖	Lacus Veris
春节	Spring Festival
昴团星	Pleiad
昴宿	Ball of wool; Stopping-place
昴宿一	Electra
昴宿七	Atlas
昴宿三	Asterope; Sterope
昴宿二	Taygeta; Taygete
昴宿五	Merope
昴宿六	Alcyone
昴宿四	Maia
昴宿四变星序	Maia sequence
昴宿增十二	Pleione
昴宿增十六	Celaeno
昴宿星云	Merope Nebula
昴星团	Pleiades
昴星团星云	Pleiades Nebula
昴星团望远镜	Subaru Telescope
昼	day
昼弧	day arc
昼见	appearance in the day
显协变性	manifest covariance
显影剂	developer; developing agent; photographic developer
显微光度图	microphotogram
显微光度描迹	microphotometric tracing
显微光度测量	microphotometry
显微光度计	microphotometer
显微密度测量	microdensitometry
显微测微计	microscope-micrometer
显微照片	photomicrograph
显微照相	photomicrography
显微镜座	全称：Microscopium。缩写：Mic
显微镜座AU型星	AU Microscopii
显露金牛T型变星	naked T-Tauri variable
显露金牛T型星	naked T-Tauri star
晋	Marfak; Marsik
晕	halo
晕-尾结构	halo-tail structure
晕产生率	halo creation rate
晕偏袒	halo bias
晕半径	halo radius
晕密度轮廓	halo density profile
晕并合率	halo merger rate
晕族	halo population; extreme population Ⅱ
晕族大质量致密天体	全称：massive compact halo object。缩写：MACHO
晕族天体	halo object
晕族星	halo star
晕族球状星团	halo globular cluster
晕族矮星	halo dwarf
晕核结构	halo-core structure
晕模型	halo model
晕相关函数	correlation function of halo
晕破坏率	halo destruction rate
晕组装偏袒	halo assembly bias
晕聚集度	halo concentration
晕质量函数	halo mass function
晕轨道	halo orbit
晕辐射	halo radiation
晚型亚巨星	late-type subgiant
晚型亚矮星	late-type subdwarf
晚型变星	late-type variable
晚型巨星	late-type giant
晚型旋涡星系	late-type spiral galaxy
晚型星	late-type star
晚型星系	late-type galaxy
晚型星系团	late cluster
晚型矮星	late-type dwarf
晚型超巨星	late-type supergiant
晚期演化天体	evolved object
晚期累积萨克斯-沃尔夫效应	late integrated Sachs-Wolfe effect
晚期重轰击	late heavy bombardment
晨光始	beginning of morning twilight
晨出	heliacal rising; acronical rising; acronychal rising
晨昏天光平场	twilight flat
晨昏蒙影	twilight
晨昏视觉	scotopic vision
晨星	1、day star; 2、morning star
晨星组	morning group
晨辉	morning glow
普丰德线系	Pfund series
普丰德谱线	Pfund lines
普丰德连续区	Pfund continuum
普丽阿姆斯	Priamus
普切日-卡通基陨星坑	Puchezh-Katunki crater
普利纽斯溪	Rimae Plinius
普勒斯尔目镜	Ploessl eyepiece
普卢塔克环形山	Plutarch crater
普卢默模型	Plummer's model
普卢默环形山	Plummer crater
普卢默球	Plummer sphere
普卢默规律	Plummer's law
普尔巴赫环形山	Purbach crater
普尔科沃天文主台	Pulkovo Main Astronomical Observatory
普尔科沃脉冲星	全称：Pulkovo pulsar。缩写：PP
普拉斯基特星	Plaskett's star
普拉斯基特环形山	Plaskett crater
普拉格环形山	Prager crater
普日布拉姆陨星	Príbram meteorite
普朗克函数	Planck function
普朗克分布	Planck distribution
普朗克单位	Planck unit
普朗克卫星	Planck satellite
普朗克定律	Planck's law
普朗克密度	Planck density
普朗克常数	Planck constant
普朗克时间	Planck time
普朗克期	Planck era
普朗克温度	Planck temperature
普朗克溪	Rima Planck
普朗克环形山	Planck crater
普朗克能量	Planck energy
普朗克谱	Planck spectrum
普朗克谷	Vallis Planck
普朗克质量	Planck mass
普朗克辐射定律	Planck's radiation law
普朗克长度	Planck length
普朗克黑体	Planck blackbody
普朗克黑体公式	Planck blackbody formula
普朗克黑体函数	Planck blackbody function
普朗特数	Prandtl number
普朗特环形山	Prandtl crater
普林茨溪	Rimae Prinz
普法夫[多项]式	Pfaffian
普洛目镜	Plössl eyepiece
普罗克特环形山	Proctor crater
普罗米修斯高地	Promethei Terra
普适图像传输系统	全称：Flexible Image Transport System。缩写：FITS
普适常数	universal constant
普适耦合常数	universal coupling constant
普通天体物理	general astrophysics
普通天文学	general astronomy
普通球粒陨星	ordinary chondrite
普遍摄动	general perturbation
普遍磁场	general magnetic field
普里斯特利环形山	Priestley crater
普雷斯-谢克特公式	Press-Schechter formalism
普雷斯-谢克特方法	Press-Schechter method; Press-Schechter approach
普雷斯-谢克特理论	Press-Schechter theory
普雷斯-谢克特质量函数	全称：Press-Schechter mass function。缩写：PS mass function
景星	great star; splendid star
景符	shadow definer
晶体混频器	crystal mixer
晶控振荡器	crystal controlled oscillator
晶格	crystal lattice
晶格畸变	lattice distortion
晶轴	crystallographic axis
智海	Mare Ingenii
智神星	Pallas
暂定值	provisional value
暂定名	provisional designation
暂定权	provisional weight
暂星	temporary star
暂现X射线暴	transient X-ray burst
暂现X射线暴源	transient X-ray burster
暂现X射线源	transient X-ray source
暂现γ射线暴	transient γ-ray burst
暂现γ射线暴源	transient γ-ray burster
暂现γ射线源	transient γ-ray source
暂现事件	transient event
暂现扰动	transient perturbation
暂现旋涡图案	transient spiral pattern; transitory spiral pattern
暗[电]流	dark current
暗[视]场	dark field
暗γ暴	dark γ-ray burst
暗云	dark cloud
暗伴天体	faint companion; dark companion
暗伴星	faint companion; dark companion
暗伴星系	faint companion; dark companion
暗光光度曲线	scotopic luminosity curve
暗半球	unilluminated hemisphere
暗天体	faint object
暗室	darkroom
暗尘云	dark dust nebula
暗尘带	dark dust lane
暗带	1、dark lane; 2、dusky belt
暗弥漫星云	dark diffuse nebula
暗成分	dark component
暗拱	dark dome
暗斑	macula
暗日芒	dark mottle
暗星	dark star; faint star
暗星云	dark nebula
暗星星表	全称：Catalogue of Faint Stars。缩写：KSZ
暗星系	1、dark galaxy; 2、faint galaxy
暗星表	全称：Catalogue of Faint Stars。缩写：KSZ
暗晕	dark halo
暗晕占居数分布	全称：halo occupation distribution。缩写：HOD
暗晕环形山	dark halo crater
暗暴	dark burst
暗条	filament
暗条振荡	filament oscillation
暗条沟	filament channel
暗条激活	filament activation
暗条突逝	filament sudden disappearance; sudden disappearance of filament
暗条足	filament foot
暗流星	faint meteor
暗源	faint source
暗物质	dark matter
暗物质低温搜寻计划	全称：Cryogenic Dark Matter Search。缩写：CDMS
暗物质候选体	dark matter candidate
暗物质扰动	perturbation of dark matter
暗物质搜寻	dark matter search
暗物质星	dark matter star
暗物质晕	dark matter halo
暗物质湮灭	dark matter annihilation
暗物质粒子探测器	全称：Dark Matter Particle Explorer。缩写：DAMPE
暗物质衰变	dark matter decay
暗物质间接探测	dark matter indirect detection
暗环	dusky ring; crape ring
暗纱	dusky veil
暗绿玻璃	1、bottle stone; 2、moldavite
暗能量	dark energy
暗能量模型	dark energy model
暗蓝天体	faint blue object
暗蓝星	faint blue star
暗蓝星系	faint blue galaxy
暗虚	Dark Shadow
暗谱斑	dark flocculus
暗边缘	dark limb
暗适应	dark adaptation
暗食变星	dark-eclipsing variable
暮光	evening twilight
暮辉	evening glow
暴	burst
暴后	postburst
暴噪	burst noise
暴态脉冲星	bursting pulsar
暴源	burster; burst source
暴燃	deflagration
暴燃波	deflagrationwave
暴胀	inflation
暴胀再热	1、inflation reheating; 2、reheating from inflation
暴胀子	inflaton
暴胀宇宙	inflationary universe
暴胀宇宙模型	inflationary cosmological model
暴胀期	inflationary era; inflationary epoch
暴胀模型	inflation model
暴胀演化图像	inflationary scenario
暴胀相变	inflationary phase transition
暴胀阶段	inflationary phase
暴胀预热	inflation preheating
曙光	morning twilight
曙光号	1、Aurorae; 2、Zarya
曙光号小行星探测器	Dawn Spacecraft
曙暮光亮度	twilight brightness
曙暮光光谱	twilight spectrum
曙暮光区	twilight zone
曙暮光发射	twilight emission
曙暮光改正	twilight correction
曙暮辉	crepuscular rays
曙暮辉弧	crepuscular arch
曙神星	Eos
曙神星族	Eos family
曝光	exposure
曝光不足	underexposure
曝光时间	1、exposure time; 2、length of exposure; 3、time of exposure
曝光时限	exposure age; exposure latitude; latitude of exposure
曝光计	expometer; exponometer; exposure-meter
曝光过度	over-exposure
曝卫	Pabu
曲扇状流	curved fan
曲率	curvature
曲率中心	center of curvature
曲率半径	radius of curvature
曲率场	field of curvature
曲率子	curvaton
曲率常数	curvature constant
曲率扰动	curvature perturbation
曲率指数	curvature index
曲率改正	curvature correction
曲率标量	curvature scalar
曲率波前传感器	curvature wavefront sensor
曲率辐射	curvature radiation
曲线坐标	curvilinear coordinate
曲线拟合	curve fitting
曲线运动	curvilinear motion
曲钦岳	Quqinyue
曲面	curved surface
曲面光栅	curved grating
曳引效应	drag effect
曳波	trailing wave
曳臂	following arm; trailing arm
曹光彪	Chaokuangpiu
曼利-罗氏方程	Manley-Rowe equation
曼德尔施塔姆环形山	Mandel'shtam crater
曼德拉比拉陨星	Mundrabilla meteorite
曼杰特深谷	Mandjet Chasma
曼森陨星坑	Manson crater
曾国寿	Zengguoshou
曾宪梓	Tsanghinchi
最上部地壳	upper-most crust
最亮团星系	brightest cluster galaxy
最亮星	lucida
最优	optimum
最优化	optimization
最佳发射时间	launch window
最佳滤光片	optimum filter
最佳过渡	optimum transfer
最内层电子	innermost electron
最内行星	innermost planet
最后散射面	last scattering surface
最大亮度	greatest brilliancy
最大北黄纬	greatest north latitude
最大南黄纬	greatest south latitude
最大熵	maximum entropy
最大熵法	全称：maximum entropy method。缩写：MEM
最大盘模型	maximal disk model
最大远地点	peak apogee
最大远日点	peak aphelion
最大食分	maximum eclipse; magnitude of greatest eclipse
最小e叠数	minimum e-folds
最小二乘平差	least square adjustment
最小二乘拟合	least square fitting; least squares fitting
最小二乘法	least square method; method of least square; method of minimum square
最小二乘解	least square solution
最小作用原理	principle of least action
最小作用量	least action
最小偏向	minimum deviation
最小偏向光栅	minimum deviation grating
最小偏向角	minimum deviation angle
最小冗余[天线]阵	minimum-redundancy array
最小分辨率	minimum resolution
最小分辨角	angle of minimum resolution
最小可分辨角	minimum resolvable angle
最小可检测亮度	minimum detectable brightness
最小可检测信号	minimum detectable signal
最小可检测流量	minimum detectable flux
最小可检测流量密度	minimum detectable flux density
最小可检测误差	minimum detectable error
最小方差	minimum variance
最小球差单透镜	crossed lens
最小耗能轨道	minimum-energy orbit
最小耦合原理	principle of minimal coupling
最小能见度	minimum visibility
最小角距	appulse
最小超对称模型	全称：minimal supersymmetric standard model。缩写：MSSM
最接近态	closest approach
最接近时刻	closest approach
最概然值	most probable value
最概然误差	most probable error
最概然速度	most probable velocity
最轻超对称粒子	全称：lightest supersymmetric particle。缩写：LSP
最近距恒星	nearest star
最速下降法	steepest descent method
月	month
月下点	sublunar point
月丘	lunar dome
月亮女神号	全称：Selenological and Engineering Explorer; KAGUYA。缩写：SELENE
月偏食	partial lunar eclipse
月光期	light of the moon
月全食	total lunar eclipse; total eclipse of the moon
月出	moonrise
月周空间	circumlunar space
月地空间	cislunar space
月基天文台	lunar-based observatory
月基天文学	lunar-based astronomy
月基干涉仪	lunar-based interferometer
月基望远镜	lunar-based telescope
月基紫外天文望远镜	全称：Lunar-based Ultraviolet Telescope。缩写：LUT
月壳	lunar crust
月外空间	translunar space
月外轨道	translunary orbit
月孛	Lilith
月尘	lunar dust
月岩	lunar rock; moonrock
月岩体	lunar nodule
月岩取样器	moon scraper
月平均	monthly mean
月心坐标	selenocentric coordinate
月志学	lunar topography
月掩星	lunar occultation
月掩星技术	lunar occultation technique
月掩源	lunar occultation
月星趋近 	lunar appulse
月晕	lunar aureole
月晷	lunar dial; moondial
月极	lunar pole
月没	moonset
月海	lunabase; marebase
月潮	lunar tide
月潮波	lunar tidal wave
月潮间隔	luni-tidal interval
月热学	selenothermy
月犯星	lunar appulse
月球	Moon; Luna
月球交点周期	period of moon's node
月球公转恒星周	peragration
月球勘探者	Lunar Prospector
月球勘测轨道飞行器	全称：Lunar Reconnaissance Orbiter。缩写：LRO
月球卫星	lunar satellite; selenoid
月球历表	lunar ephemeris
月球原始元素	lunar primeval element
月球和行星实验室	全称：Lunar and Planetary Laboratory。缩写：LPL
月球回波	lunar bounce
月球回波时间同步	全称：moon bounce time synchronization。缩写：MBTS
月球圆谷	lunar circus
月球大气	lunar atmosphere
月球大气及尘埃环境探测器	全称：Lunar Atmosphere and Dust Environment Explorer。缩写：LADEE
月球天平动	lunar libration
月球学	selenology
月球学与工程探测器	全称：Selenological and Engineering Explorer; KAGUYA。缩写：SELENE
月球学家	selenologist
月球山系	lunar mountain
月球岩粉	lunar fines
月球巡视器	lunar rover vehicle; Lunar Rover
月球探测器	1、Luna probe; 2、lunar probe; 3、lunar survey probe
月球暂现现象	1、全称：lunar transient phenomenon。缩写：LTP; 2、全称：transient lunar phenomenon。缩写：TLP
月球正午	lunar noon
月球正面	nearside of the Moon
月球流星体	lunar meteoroid
月球潮汐	moon's tide
月球火箭	moon rocket
月球物理	selenophysics
月球物理现象	selenophysical phenomenon
月球环形山观测与遥感卫星	全称：Lunar Crater Observation and Sensing Satellite。缩写：LCROSS
月球电离层	lunar ionosphere
月球着陆器	lunar lander
月球矿藏勘測器	Moon Mineralogy Mapper
月球章动	lunar nutation
月球背面	far side of the Moon
月球表	lunar table
月球视差	lunar parallax
月球起源说	selenogony
月球距离	lunar distance
月球车	1、Lunokhod; 2、lunar rover vehicle; Lunar Rover; 3、全称：Lunar Roving Vehicle。缩写：LRV
月球轨道	lunar orbit; moon's orbit
月球轨道飞行器	Lunar Orbiter
月球辐射	lunar radiation
月球运动表	table of the moon
月球运行仪	lunarium
月球雷达时间同步	lunar radar time-synchronization
月相	phase of the moon; aspect of the moon; lunar aspect; lunar phase; moon's phase
月相图	lunar chiaroscuro
月相律	moon's phase law
月相盈亏	waxing and waning of the moon
月神星	Diana
月离	lunar equation
月离理论	lunar theory
月站	Nakshatra
月船号	Chandrayaan
月行差	1、lunar equation; 2、lunar inequality; variational inequality
月衍射	lunar diffraction
月角	cusp
月角差	parallactic inequality; parallactic equation
月角线	line of cusps
月质学	lunar geology
月躔	lunar interval
月轨交点	lunar node
月闰余	menstrual epact
月陆	lunarite
月震	moonquake
月震仪	moon seismograph
月震学	lunar seismology
月震计	lunar seismometer
月面	lunar disk; lunar surface
月面命名	lunar nomenclature
月面图	selenograph; lunar map; selenographic chart; selenographic map
月面坐标	selenographic coordinate
月面学	selenography
月面形态学	selenomorphology
月面断层	selenofault
月面测量	selenodesy
月面环壁平原	walled plain
月面环形山	lunar crater
月面纬度	selenographic latitude
月面经度	selenographic longitude
月面花样表层	patterned ground
月面视栅	lunar grid
月面辐射纹	lunar rays; rays of the moon
月面陨击坑	lunar crater
月面高地	lunar highland
月食	lunar eclipse; eclipse of the moon
月食限	lunar ecliptic limit
月龄	moon's age; age of the moon
有势运动	potential motion
有向陨星	oriented meteorite
有序区	order region
有序参数	order parameter
有序轨道	ordered orbit; regular orbit
有心力	central force
有效产额	effective yield
有效光深	effective optical depth
有效分子量	effective molecular weight
有效势	effective potential
有效半径	effective radius
有效反射面积	effective reflecting area
有效口径	effective aperture
有效吸收系数	effective absorption coefficient
有效复合截面	effective cross-section of recombination
有效孔径	effective aperture
有效宽度	effective width
有效截面	effective cross-section
有效接收面积	effective collecting area; effective receiving area
有效数字	significant figure
有效朗德 g 因子	effective Lande g factor
有效波长	effective wavelength
有效温度	effective temperature
有效滤波器响应	effective filter response
有效焦距	effective focal length
有效电离截面	effective cross-section of ionization
有效碰撞截面	effective cross-section of collision
有效碰撞频率	effective collision frequency
有效离子拉莫尔半径	effective ion Larmor radius
有效线宽	effective line width
有效视场	true field
有效距离	effective distance
有效载荷	payload
有效辐射	effective radiation
有效重力加速度	effective acceleration of gravity
有效长度	effective length
有效阻尼常数	effective damping constant
有效面积	effective area
有效高度	effective height
有旋扰动	vortical perturbations
有机分子	organic molecule
有机物质	organic matter
有机闪烁体	organic scintillator
有核矮星系	nucleated dwarf galaxy
有核矮椭圆星系	nucleated dwarf elliptical galaxy
有棒星系	barred galaxy
有源卫星	active satellite
有源微波激射振荡器	active maser oscillator
有环棒旋星系	ringed barred galaxy; ringed barred spiral galaxy
有环行星	ringed planet
有缝光谱	slit spectrum; slit spectrogram
有缝分光	slit spectroscopy
有缝摄谱仪	slit spectrograph
有质量中微子	massive neutrino
有限差分	finite difference
有限波列	finite wave-train
有限温度场论	finite-temperature field theory
有黑子态	sunspottedness
服务舱	全称：service module。缩写：SM
朔	new moon; beginning of lunation
朔伊尔-里德黑德假说	Scheuer-Readhead hypothesis
朔实	lunation numerator
朔日	first day of lunar month
朔望	syzygy
朔望平均潮候时差	vulgar estabilishment
朔望月	synodic month; lunar month; moon month; month of the phases; lunation
朔望月数	lunation number
朔望潮	syzygetic tide; syzygial tide
朗之万定理	Langevin theory
朗之万环形山	Langevin crater
朗伯	lambert
朗伯反照率	Lambert albedo
朗伯定律	Lambert's law
朗伯方程	Lambert equation
朗伯级数	Lambert series
朗德g值	Lande g value
朗德劈裂因子	Lande splitting factor
朗德因子	Lande factor
朗斯基行列式	Wrongskian
朗格伦环形山	Langrenus crater
朗格马克环形山	Langemak crater
朗缪尔振荡	Langmuir oscillation
朗缪尔波	Langmuir wave
朗缪尔波不稳定性	Langmuir wave instability
朗缪尔波湍动	Langmuir wave turbulence
朗缪尔测量仪	Langmuir probe
朗缪尔环形山	Langmuir crater
朗缪尔频率	Langmuir frequency
朗道环形山	Landau crater
朗道能级	Landau energy level
朗道长度	Landau length
朗道阻尼	Landau damping
望	full moon
望筒	sighting-tube; dioptra
望远物镜	teleobjective
望远镜	telescope
望远镜 PV 型星	PV Telescopii star
望远镜RR型变星	RR Telescopii variable
望远镜RR型星	RR Telescopii star
望远镜光学系统	telescope optical system
望远镜分辨率	telescopic resolution
望远镜前天文学	pre-telescope astronomy
望远镜圆顶	telescope dome
望远镜天体	telescopic object
望远镜天文学	telescopic astronomy
望远镜孔径	telescopic aperture
望远镜学	telescopy
望远镜座	全称：Telescopium。缩写：Tel
望远镜建造	telescope construction
望远镜彗星	telescopic comet
望远镜恒星	telescopic star
望远镜控制系统	telescope control system
望远镜机架	mounting of telescope
望远镜流星	telescopic meteor
望远镜装置	telescope mounting
望远镜观测时间	telescope time
望远镜设计	telescope design
望远镜跟踪系统	telescope tracking system
望远镜辐射点	telescopic radiant
望远镜镜面	telescope mirror
望远镜阵	telescope array
望远镜附属仪器	telescope instrumentation
望远镜驱动装置	telescope driving system
期女星	Feronia
期望值	expectation value; expected value
木内行星	intra-Jovian planet
木刺星系	Splinter Galaxy
木卫	Jovian satellite; Jupiter's satellite; satellite of Jupiter
木卫一	Io
木卫七	1、Elara; 2、Hera
木卫三	Ganymede
木卫三十	Hermippe
木卫三十一	Aitne
木卫三十七	Kale
木卫三十三	Euanthe
木卫三十九	Hegemone
木卫三十二	Eurydome
木卫三十五	Orthosie
木卫三十八	Pasithee
木卫三十六	Sponde
木卫三十四	Euporie
木卫九	1、Hades; 2、Sinope
木卫二	Europa
木卫二十	Taygete
木卫二十一	Chaldene
木卫二十七	Praxidike
木卫二十三	Kalyke
木卫二十九	Thyone
木卫二十二	Harpalyke
木卫二十五	Erinome
木卫二十八	Autonoe
木卫二十六	Isonoe
木卫二十四	Iocaste
木卫二环轨探测器	Europa Orbiter
木卫五	Amalthea
木卫五十	Herse
木卫五十三	Dia
木卫八	Pasiphae
木卫六	1、Hestia; 2、Himalia
木卫凌木	transit of Jovian satellite; transit of Jupiter's satellite
木卫十	1、Demeter; 2、Lysithea
木卫十一	Carme
木卫十七	Callirrhoe
木卫十三	Leda
木卫十九	Megaclite
木卫十二	Ananke
木卫十五	Adrastea 
木卫十八	Themisto
木卫十六	Metis
木卫十四	Thebe
木卫四	Callisto
木卫四十	Mneme
木卫四十一	Aoede
木卫四十七	Eukelade
木卫四十三	Arche
木卫四十九	Kore
木卫四十二	Thelxinoe
木卫四十五	Helike
木卫四十八	Cyllene
木卫四十六	Carpo
木卫四十四	Kallichore
木心坐标	jovicentric coordinate; zenocentric coordinate
木心纬度	jovicentric latitude
木心经度	jovicentric longitude
木心轨道	jovicentric orbit
木族	Jupiter's family; Jovian family
木族小行星	Jupiter's asteroid family
木族彗星	1、Jupiter comet family; 2、Jupiter's comet family; Jupiter's family of comets; comet of Jupiter family; Jupiter-type comet
木星	Jupiter
木星-特洛伊族小行星	Jupiter-Trojan asteroid
木星北温带	全称：north temperate belt。缩写：NTB
木星大气	Jovian atmosphere; Jupiter atmosphere
木星射电	Jovian radio radiation; Jupiter radio radiation
木星射电暴	Jovian radio burst; Jupiter radio burst
木星暴	Jovian burst; Jupiter burst
木星环	Jupiter's ring; Jovian ring; ring of Jupiter
木星电离层	Jovian ionosphere; Jupiter ionosphere
木星磁层	Jovian magnetosphere; Jupiter magnetosphere
木星等离子层	Jovian plasmasphere; Jupiter plasmasphere
木星细环	Jupiter's ringlet; Jovian ringlet
木星辐射带	Jovian radiation belt; Jupiter radiation belt
木村项	Kimura term
木震学	Jovian seismology
木面坐标	jovigraphic coordinate; zenographic coordinate
木面学	zenography
木面纬度	jovigraphic latitudem; zenographic latitude
木面经度	jovigraphic longitude; zenographic longitude
木魂星云	Ghost of Jupiter; Jupiter's Ghost
未名星系	anonymous galaxy
未名物质	X matter
未名类太阳风	X wind
未宫	全称：Cancer。缩写：Cnc
未来光锥	future light cone
未现子星	unseen component
未编号小行星	unnumbered asteroid
未见伴星	unseen companion
未见伴星系	unseen companion
未证认源	unidentified source
末位有效数字	last significant figure
末速度	final velocity
本体坐标系，星固坐标系	body-fixed coordinate system
本内特彗星	Comet Bennett
本初子午圈	prime meridian; first meridian
本初子午线	prime meridian; first meridian
本动	peculiar motion; peculiar proper motion
本动分量	peculiar motion component
本动速度	peculiar speed; peculiar velocity
本动速度场	peculiar velocity field
本原	nature
本地标准	local standard
本地泡	Local Bubble
本地静止标准	全称：local standard of rest。缩写：LSR
本底	bias
本底场	bias field
本底抑制	background rejection
本底改正	bias correction
本影	umbra
本影月食始	moon enters umbra
本影月食终	moon leaves umbra
本影点	umbral dot
本影闪耀	umbral flash
本影食	umbral eclipse
本征值	eigenvalue; proper value
本征光度	intrinsic luminosity
本征函数	eigenfunction; proper function
本征变星	intrinsic variable
本征周期	eigenperiod
本征四维标架	proper tetrad
本征基	proper tetrad
本征平面	proper plane
本征振动	eigenvibration
本征方向	proper direction
本征星等	intrinsic magnitude
本征根数	proper element
本征模	eigen mode
本征温度	eigentemperature
本征矢	eigenvector
本征精度	intrinsic accuracy
本征色指数	intrinsic color index
本征颜色	intrinsic color
本性奇点	essentially singular point
本恒星系统	Local System
本振	全称：local oscillator。缩写：LO
本星系团	Local cluster of galaxies
本星系群	Local group of galaxies; Local Group
本星际云	Local Interstellar Cloud
本源	primary source
本生光度计	Bunsen photometer
本生环形山	Bunsen crater
本超星系	Local supergalaxy
本超星系团	Local supercluster
本轮	epicycle
本轮中心	epicenter
本轮振荡	epicycle oscillation
本轮能量	epicycle energy
本轮说	epicycle theory
本轮轨道	epicyclic orbit
本轮运动	epicyclic motion
本轮近似	epicyclic approximation
本轮频率	epicyclic frequency
朱元晨	Zhuyuanchen
朱光亚	Zhuguangya
朱树豪	Chushuho
朱永鸿	Chuwinghung
朱若辰	Zhuruochen
朱诺号	Juno
朱雀号	Suzaku; Astro-EⅡ
朱鸟	Vermilion Bird; Red Bird
机制	mechanism
机动卫星	maneuvering satellite
机器可读形式	machine-readable form
机器语言	machine language
机库	rolling hangar
机械能	mechanical energy
机载仪器	airplane borne instrument
机载天文台	airplane-based observatory
机载平台	airborne platform
机载望远镜	airborne telescope; airplane borne telescope; airplane-based telescope
机载观测	airborne observation
机遇号火星探测车	Opportunity Mars Exploration Rover
机遇律	law of chance
机遇目标	Target of Opportunity
杂化弦	heterotic string
杂带导通探测器	全称：impurity band conduction detector。缩写：IBC detector
杂散光	stray light
杂散因子	stray factor
杂散场	stray field
杂相陡岩	scopulus
杂质	impurity
杂陨石	ataxite
权函数	weight function
权度	measures and weights
权神星	Hekate
李-温伯格极限	Lee-Weinberg limit
李元	Liyuan
李变换	Lie transformation
李四光	Lisiguang
李奥-欧曼滤光器	Lyot-Oehman filter
李奥光阑	Lyot stop
李奥日冕仪	Lyot coronagraph
李奥星冕仪	Lyot coronagraph
李奥消偏振镜	Lyot depolarizer
李奥滤光器	Lyot filter
李奥环形山	Lyot crater
李奥环缝	Lyot division
李安	Anglee
李导数	Lie derivative
李拱辰	Jose Ribeiro
李政道	Leetsungdao
李晓华	Lixiaohua
李普曼环形山	Lippmann crater
李模型	Lee model
李比希峭壁	Rupes Liebig
李比希环形山	Liebig crater
李波	Lee wave
李瑞均	Leesuikwan
李白	Libai
李约瑟	Needham
李级数	Lie series
李纳-维谢尔势	Lienard-Wiechert potential
李育霖	Liyulin
李诏熙	Leechaohsi
李达三	Lidaksum
李远哲宇宙背景辐射阵	全称：Yuan Tseh Lee Array for Microwave Background Anisotropy。缩写：AMiBA
李陆大	Liloketai
李雅普诺夫函数	Lyapunov function
李雅普诺夫指数	Lyapunov exponent
李雅普诺夫特征数	全称：Lyapunov characteristic number。缩写：LCN
李雅普诺夫稳定性	Lyapunov stability
杜克湾	Duck Bay
杜奈尔环形山	Dunér crater
杜根环形山	Dugan crater
杜比亚戈环形山	Dubyago crater
杜瓦环形山	Dewar crater
杜甫	Dufu
杜鹃座	全称：Tucana。缩写：Tuc
杜鹃座矮星系	Tucana Dwarf Galaxy
束光学	beam optics
束光阑	beam diaphragm
束反向	beam reversal
束强度	beam intensity
束微波激射器	beam maser
束波导	beam waveguide
束流对流不稳定性	beam current convective instability
束流效应	beaming effect
束流模型	beam model
束热速度	beam thermal velocity
束状模型	cluster model
束稳定化	beam stabilization
束立体角	beam solid angle
束等离子体相互作用	beam-plasma interaction
束管	beam tube; storage beam tube
束缚-束缚吸收	bound-bound absorption
束缚-束缚跃迁	bound-bound transition
束缚-自由吸收	bound-free absorption
束缚-自由跃迁	bound-free transition
束缚模型	bound model
束缚电子	bound electron
束缚轨道	bound orbit
束缚辐射	imprisoned radiation
束脉泽	beam maser
束限制孔径	beam-limiting aperture
条件光度函数	conditional luminosity function
条件周期函数	conditionally periodic function
条件周期运动	conditionary periodic motion
条件多重度函数	conditional multiplicity function
条件方程	condition equation
条件稳定性	conditional stability
条件质量函数	conditional mass function
条层照相	streak photography
条形准直器	slat collimator
条形灯	band lamp
条纹-频率谱	fringe-frequency spectrum
条纹包络	fringe envelope
条纹反衬度	contrast of fringes
条纹可见度	fringe visibility
